"ID","articulo","marca","especificaciones","precio","pag_url"
125,"guayos","NIKE","Talla :-9-",221970,"https://www.exito.com/nike-phantom-gx-club-fg-mg-guayos-negro-de-hombre-para-futbol-123787350/p?color=negro_%23000000"
126,"guayos","NIKE","Talla :-9.5-",317970,"https://www.exito.com/nike-zoom-vapor-15-acad-mds-fg-mg-guayos-multicolor-de-hombre-para-futbol-123787339/p?color=ROJO_%23FF0000"
127,"guayos","PUMA","Talla :-12-",227970,"https://www.exito.com/puma-ultra-play-fg-ag-guayos-azul-de-hombre-para-futbol-123786791/p?color=azul_%230101DF"
128,"guayos","PUMA","Talla :-9.5-",227970,"https://www.exito.com/puma-ultra-play-fg-ag-guayos-azul-de-hombre-para-futbol-123786790/p?color=azul_%230101DF"
129,"guayos","CROYDON","Guayos Sintética Ziblo Para Hombre Croydon Croydon 38 Negro",149900,"https://www.exito.com/guayos-sintetica-ziblo-para-hombre-croydon-croydon-104298694-mp/p?color=Negro"
130,"guayos","CROYDON","Guayos Sintética Ziblo Para Hombre Croydon Croydon 40 Azul-Oscuro",149900,"https://www.exito.com/guayos-sintetica-ziblo-para-hombre-croydon-croydon-104298676-mp/p?color=Azul-Oscuro"
131,"guayos","CROYDON","Guayos Grama Krim Para Hombre Croydon Croydon 38 Azul-Oscuro",149900,"https://www.exito.com/guayos-grama-krim-para-hombre-croydon-croydon-104298245-mp/p?color=Azul-Oscuro"
132,"guayos","CROYDON","Guayos Grama Krim Para Hombre Croydon Croydon 38 Azul-Claro",149900,"https://www.exito.com/guayos-grama-krim-para-hombre-croydon-croydon-104298213-mp/p?color=Azul-Claro"
133,"guayos","CROYDON","Guayos Futsal Futsal Zabo Para Hombre Croydon Croydon 40 Negro",144900,"https://www.exito.com/guayos-futsal-futsal-zabo-para-hombre-croydon-croydon-104298132-mp/p?color=Negro"
134,"guayos","CROYDON","Guayos Futsal Futsal Zabo Para Hombre Croydon Croydon 41 Azul-Oscuro",144900,"https://www.exito.com/guayos-futsal-futsal-zabo-para-hombre-croydon-croydon-104298121-mp/p?color=Azul-Oscuro"
135,"guayos","GOLTY","Guayos Golty Pro Spectrum Tpu Verde 8.5 Verde",134990,"https://www.exito.com/guayos-golty-pro-spectrum-tpu-verde-104296524-mp/p?color=Verde"
